Player Name,Team,Age,Positions,FP,FP/GP,GP,TOI,PP TOI,G,A,P,SOG,PPG,PPP,BLK,HIT,plus_minus,GWG,FOW,FOL,FO%,Extra,Extra
Carter Verhaeghe,FLA,30,LW,240.2,3.94,61,17.7,3.0,17.2,26.4,43.7,168.8,5.1,14.4,20.9,60.0,4.2,2.9,24.6,36.9,40%,,
Tyler Bertuzzi,CHI,30,"LW,RW",239.4,3.99,60,19.1,2.8,24.3,22.9,47.2,137.8,10.1,18.5,20.8,60.3,-3.9,3.6,28.2,39.0,42%,,
Rickard Rakell,PIT,32,"C,LW,RW",239.0,3.92,61,17.8,2.3,20.4,24.2,44.6,136.9,4.3,9.9,54.0,75.8,-1.8,2.8,9.2,17.8,34%,,
John Carlson,WSH,35,D,239.0,3.98,60,23.1,3.3,6.0,32.5,38.5,121.6,2.1,13.8,98.0,42.0,3.5,1.0,0.0,0.0,0%,,
Adam Fantilli,CBJ,21,C,236.2,3.94,60,18.8,2.4,23.8,20.4,44.2,155.8,3.6,6.1,39.0,74.9,-0.9,3.6,290.7,375.5,44%,,
Moritz Seider,DET,24,D,236.0,3.93,60,24.4,2.5,6.8,26.8,33.6,122.5,2.3,14.7,118.6,121.4,-0.7,0.9,0.0,0.0,0%,,
Sean Monahan,CBJ,31,C,235.0,3.92,60,18.5,3.2,17.0,30.1,47.2,129.1,6.2,16.4,25.0,35.6,2.7,2.6,592.8,513.4,54%,,
Jordan Eberle,SEA,35,RW,234.7,3.91,60,19.9,3.1,19.1,25.2,44.3,147.3,4.1,12.4,31.5,45.2,-4.4,2.3,20.9,27.5,43%,,
Brock Boeser,VAN,28,RW,234.4,3.97,59,19.1,3.6,23.2,22.2,45.4,138.0,7.5,16.7,24.6,49.8,-0.6,3.4,28.3,42.4,40%,,
Jonathan Marchessault,NSH,34,RW,234.3,3.84,61,18.5,2.9,19.8,22.7,42.5,169.2,4.4,12.6,19.1,77.9,-5.8,2.7,8.7,21.8,29%,,
